[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
